InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
579179,23569,TRADTIONAL ALPHABET STAMP SET,3,2011-11-28 15:02:00,4.95,17237.0,United Kingdom
562717,23162,REGENCY TEA STRAINER,4,2011-08-08 15:42:00,7.46,,United Kingdom
543979,48185,DOORMAT FAIRY CAKE,1,2011-02-14 15:43:00,7.95,14606.0,United Kingdom
540732,20972,PINK CREAM FELT CRAFT TRINKET BOX ,12,2011-01-11 10:19:00,1.25,16122.0,United Kingdom
573430,22139,RETROSPOT TEA SET CERAMIC 11 PC ,3,2011-10-31 10:38:00,4.95,13813.0,Germany
563926,22139,RETROSPOT TEA SET CERAMIC 11 PC ,3,2011-08-21 14:42:00,4.95,12553.0,France
563659,85099F,JUMBO BAG STRAWBERRY,100,2011-08-18 11:00:00,1.75,13694.0,United Kingdom
541104,84748,FOLK FELT HANGING MULTICOL GARLAND,15,2011-01-13 14:29:00,2.46,,United Kingdom
544599,22180,RETROSPOT LAMP,1,2011-02-21 18:15:00,20.79,,United Kingdom
551844,22789,T-LIGHT HOLDER SWEETHEART HANGING,4,2011-05-04 14:03:00,1.95,14173.0,United Kingdom
561105,21930,JUMBO STORAGE BAG SKULLS,10,2011-07-25 11:36:00,2.08,15218.0,United Kingdom
571062,85034B,3 WHITE CHOC MORRIS BOXED CANDLES,3,2011-10-13 14:37:00,1.25,16773.0,United Kingdom
572719,23342,MINT DINER WALL CLOCK,2,2011-10-25 15:03:00,8.5,13871.0,United Kingdom
537237,22187,GREEN CHRISTMAS TREE CARD HOLDER,1,2010-12-06 09:58:00,8.47,,United Kingdom
566326,22384,LUNCH BAG PINK POLKADOT,10,2011-09-12 12:11:00,1.65,16211.0,United Kingdom
569374,47590A,BLUE HAPPY BIRTHDAY BUNTING,1,2011-10-03 16:14:00,10.79,,United Kingdom
571230,23222,CHRISTMAS TREE HANGING GOLD,12,2011-10-14 14:16:00,0.83,13717.0,United Kingdom
573096,22965,3 TRADITIONAl BISCUIT CUTTERS  SET,6,2011-10-27 14:40:00,2.1,14004.0,United Kingdom
548739,22066,LOVE HEART TRINKET POT,2,2011-04-04 11:28:00,0.39,15493.0,United Kingdom
577531,22671,FRENCH LAUNDRY SIGN BLUE METAL,1,2011-11-20 13:58:00,3.29,,United Kingdom
572306,22595,GINGHAM HEART DECORATION,12,2011-10-23 15:11:00,0.85,17841.0,United Kingdom
581027,22111,SCOTTIE DOG HOT WATER BOTTLE,6,2011-12-07 10:43:00,4.95,17091.0,United Kingdom
557485,85099F,JUMBO BAG STRAWBERRY,400,2011-06-20 14:38:00,1.79,15769.0,United Kingdom
567882,23215,JINGLE BELL HEART ANTIQUE SILVER,24,2011-09-22 15:03:00,2.08,12906.0,United Kingdom
552468,20726,LUNCH BAG WOODLAND,10,2011-05-09 15:33:00,1.65,13141.0,United Kingdom
554514,21714,CITRONELLA CANDLE GARDEN POT,3,2011-05-24 15:58:00,2.46,,United Kingdom
574269,21915,RED  HARMONICA IN BOX ,12,2011-11-03 14:27:00,1.25,15570.0,United Kingdom
570426,23311,VINTAGE CHRISTMAS STOCKING ,6,2011-10-10 13:55:00,2.55,13352.0,United Kingdom
543031,22151,PLACE SETTING WHITE HEART,24,2011-02-02 15:26:00,0.42,14798.0,United Kingdom
564221,22219,LOVEBIRD HANGING DECORATION WHITE ,10,2011-08-24 09:36:00,1.63,,United Kingdom
563216,22772,PINK DRAWER KNOB ACRYLIC EDWARDIAN,1,2011-08-14 13:14:00,1.25,17841.0,United Kingdom
547538,20723,STRAWBERRY CHARLOTTE BAG,10,2011-03-23 15:17:00,0.85,13534.0,United Kingdom
550512,20727,LUNCH BAG  BLACK SKULL.,2,2011-04-18 16:31:00,1.65,18069.0,United Kingdom
580118,21326,AGED GLASS SILVER T-LIGHT HOLDER,12,2011-12-01 16:31:00,0.65,16011.0,United Kingdom
574298,84875B,GREEN SQUARE COMPACT MIRROR,2,2011-11-03 15:56:00,7.46,,United Kingdom
575137,22622,BOX OF VINTAGE ALPHABET BLOCKS,48,2011-11-08 15:13:00,9.95,13090.0,United Kingdom
546908,47590A,BLUE HAPPY BIRTHDAY BUNTING,3,2011-03-17 18:59:00,5.45,15648.0,United Kingdom
560861,21820,GLITTER HEART GARLAND WITH BELLS ,1,2011-07-21 13:37:00,3.75,17660.0,United Kingdom
545577,22079,RIBBON REEL HEARTS DESIGN ,5,2011-03-03 19:18:00,1.65,14702.0,United Kingdom
562888,20724,RED RETROSPOT CHARLOTTE BAG,10,2011-08-10 11:58:00,0.85,14388.0,United Kingdom
560282,22302,COFFEE MUG PEARS  DESIGN,6,2011-07-18 08:21:00,2.55,14758.0,United Kingdom
566950,21669,BLUE STRIPE CERAMIC DRAWER KNOB,12,2011-09-15 16:34:00,1.45,17594.0,United Kingdom
573379,84347,ROTATING SILVER ANGELS T-LIGHT HLDR,6,2011-10-30 14:03:00,2.55,15680.0,United Kingdom
573300,21035,SET/2 RED RETROSPOT TEA TOWELS ,1,2011-10-28 16:10:00,3.25,16049.0,United Kingdom
580612,21916,SET 12 RETRO WHITE CHALK STICKS,3,2011-12-05 11:58:00,0.79,,United Kingdom
560581,21787,RAIN PONCHO RETROSPOT,36,2011-07-19 15:29:00,0.85,12901.0,United Kingdom
575039,84508C,BLUE CIRCLES DESIGN TEDDY,2,2011-11-08 11:53:00,2.55,15005.0,United Kingdom
553385,22704,WRAP RED APPLES ,25,2011-05-16 15:53:00,0.42,16710.0,United Kingdom
546528,85187,S/12 MINI RABBIT EASTER,5,2011-03-14 13:04:00,1.65,15311.0,United Kingdom
560937,23240,SET OF 4 KNICK KNACK TINS DOILEY ,1,2011-07-22 10:52:00,4.15,17920.0,United Kingdom
559058,16048,TEATIME ROUND PENCIL SHARPENER ,24,2011-07-06 09:49:00,0.12,12407.0,Belgium
549286,22622,BOX OF VINTAGE ALPHABET BLOCKS,1,2011-04-07 18:03:00,11.95,17928.0,United Kingdom
537640,22327,ROUND SNACK BOXES SET OF 4 SKULLS,1,2010-12-07 15:31:00,6.77,,United Kingdom
540533,22508,DOORSTOP RETROSPOT HEART,1,2011-01-09 14:12:00,3.75,15005.0,United Kingdom
572023,84879,ASSORTED COLOUR BIRD ORNAMENT,8,2011-10-20 11:03:00,1.69,17764.0,United Kingdom
543740,21389,IVORY HANGING DECORATION  BIRD,24,2011-02-11 13:36:00,0.85,15311.0,United Kingdom
579694,23311,VINTAGE CHRISTMAS STOCKING ,3,2011-11-30 14:11:00,4.96,,United Kingdom
574165,22211,WOOD STAMP SET FLOWERS,12,2011-11-03 11:36:00,0.83,14815.0,United Kingdom
573274,21479,WHITE SKULL HOT WATER BOTTLE ,13,2011-10-28 13:10:00,9.13,,United Kingdom
C537853,22697,GREEN REGENCY TEACUP AND SAUCER,-1,2010-12-08 15:57:00,2.95,13370.0,United Kingdom
562101,22909,SET OF 20 VINTAGE CHRISTMAS NAPKINS,12,2011-08-02 14:04:00,0.85,13850.0,United Kingdom
560225,21407,BROWN CHECK CAT DOORSTOP ,1,2011-07-15 16:27:00,8.29,,United Kingdom
548324,22568,FELTCRAFT CUSHION OWL,48,2011-03-30 13:01:00,3.39,13316.0,United Kingdom
567878,22897,OVEN MITT APPLES DESIGN,2,2011-09-22 14:42:00,1.45,16910.0,United Kingdom
559138,21163,DO NOT TOUCH MY STUFF DOOR HANGER ,5,2011-07-06 13:35:00,0.39,16919.0,United Kingdom
578977,23084,RABBIT NIGHT LIGHT,6,2011-11-27 15:18:00,2.08,17231.0,United Kingdom
562779,20828,GLITTER BUTTERFLY CLIPS,1,2011-08-09 12:58:00,2.55,17841.0,United Kingdom
567111,23157,SET OF 6 NATIVITY MAGNETS ,12,2011-09-16 13:37:00,2.08,17663.0,United Kingdom
540247,35972,DAISY FOLKART HEART DECORATION,1,2011-01-05 15:56:00,1.25,15464.0,United Kingdom
549245,20914,SET/5 RED RETROSPOT LID GLASS BOWLS,1,2011-04-07 11:59:00,2.95,15005.0,United Kingdom
537374,22561,WOODEN SCHOOL COLOURING SET,2,2010-12-06 12:55:00,1.65,17259.0,United Kingdom
544440,22423,REGENCY CAKESTAND 3 TIER,48,2011-02-20 10:28:00,10.95,15465.0,United Kingdom
554003,23170,REGENCY TEA PLATE ROSES ,48,2011-05-20 12:17:00,1.45,13324.0,United Kingdom
552651,20758,ABSTRACT CIRCLES POCKET BOOK,3,2011-05-10 14:09:00,0.85,16431.0,United Kingdom
567163,22733,3D TRADITIONAL CHRISTMAS STICKERS,18,2011-09-18 11:31:00,1.25,13247.0,United Kingdom
566869,22623,BOX OF VINTAGE JIGSAW BLOCKS ,6,2011-09-15 13:20:00,5.95,13658.0,United Kingdom
562965,23300,GARDENERS KNEELING PAD CUP OF TEA ,12,2011-08-11 10:45:00,1.65,18226.0,United Kingdom
573485,22144,CHRISTMAS CRAFT LITTLE FRIENDS,2,2011-10-31 11:37:00,2.1,15752.0,United Kingdom
572195,23100,SILVER BELLS TABLE DECORATION,1,2011-10-21 11:49:00,1.25,14562.0,United Kingdom
564670,23296,SET OF 6 TEA TIME BAKING CASES,8,2011-08-26 15:44:00,1.25,12683.0,France
575512,84951A,SET OF 4 PISTACHIO LOVEBIRD COASTER,24,2011-11-10 10:36:00,0.79,14121.0,United Kingdom
567662,22738,RIBBON REEL SNOWY VILLAGE,5,2011-09-21 15:12:00,1.65,17758.0,United Kingdom
559993,21650,ASSORTED TUTTI FRUTTI BRACELET,14,2011-07-14 12:42:00,0.19,14716.0,United Kingdom
555397,23051,RECYCLED ACAPULCO MAT BLUE,2,2011-06-02 17:26:00,16.63,,United Kingdom
566483,22560,TRADITIONAL MODELLING CLAY,24,2011-09-13 09:47:00,1.25,13880.0,United Kingdom
551564,22844,VINTAGE CREAM DOG FOOD CONTAINER,2,2011-05-03 10:56:00,8.5,16609.0,United Kingdom
537645,22719,GUMBALL MONOCHROME COAT RACK,1,2010-12-07 15:34:00,2.51,,United Kingdom
562114,22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,1,2011-08-02 16:14:00,5.79,,United Kingdom
547223,22974,CHILDRENS DOLLY GIRL MUG,6,2011-03-21 15:10:00,1.65,12867.0,United Kingdom
546498,84847,FLORAL BATHROOM SET,1,2011-03-14 11:44:00,3.75,15493.0,United Kingdom
546212,22728,ALARM CLOCK BAKELIKE PINK,30,2011-03-10 11:33:00,3.75,14156.0,EIRE
559372,22271,FELTCRAFT DOLL ROSIE,6,2011-07-08 10:23:00,2.95,12461.0,Switzerland
566270,22147,FELTCRAFT BUTTERFLY HEARTS,12,2011-09-11 13:40:00,1.45,16523.0,United Kingdom
563720,85159A,"BLACK TEA,COFFEE,SUGAR JARS",1,2011-08-18 16:24:00,1.95,15867.0,United Kingdom
555604,22620,4 TRADITIONAL SPINNING TOPS,12,2011-06-06 11:37:00,1.45,16612.0,United Kingdom
549734,48187,DOORMAT NEW ENGLAND,1,2011-04-11 17:12:00,7.95,16409.0,United Kingdom
580958,23345, DOLLY GIRL BEAKER,2,2011-12-06 14:30:00,1.25,17266.0,United Kingdom
574673,21810,CHRISTMAS HANGING STAR WITH BELL,9,2011-11-06 12:26:00,0.39,15555.0,United Kingdom
574049,23520,EMBROIDERED RIBBON REEL RUBY ,1,2011-11-02 13:40:00,3.75,13316.0,United Kingdom
569225,22096,PINK PAISLEY SQUARE TISSUE BOX ,4,2011-10-02 14:25:00,0.39,16930.0,United Kingdom
540977,22371,AIRLINE BAG VINTAGE TOKYO 78,2,2011-01-12 15:01:00,4.21,,United Kingdom
574310,23419,HOME SWEET HOME BOTTLE ,12,2011-11-03 16:56:00,2.08,13467.0,United Kingdom
569241,22909,SET OF 20 VINTAGE CHRISTMAS NAPKINS,12,2011-10-03 09:30:00,0.85,14488.0,United Kingdom
565127,79321,CHILLI LIGHTS,24,2011-09-01 12:28:00,4.95,13147.0,United Kingdom
556527,22197,POPCORN HOLDER,3,2011-06-13 11:33:00,0.85,16205.0,United Kingdom
567659,23409,PHOTO FRAME LINEN AND LACE LARGE,6,2011-09-21 14:55:00,3.75,17475.0,United Kingdom
572675,22743,MAKE YOUR OWN FLOWERPOWER CARD KIT,2,2011-10-25 13:20:00,2.95,17917.0,United Kingdom
553833,22661,CHARLOTTE BAG DOLLY GIRL DESIGN,2,2011-05-19 11:41:00,0.85,17346.0,United Kingdom
574278,22252,BIRDCAGE DECORATION TEALIGHT HOLDER,12,2011-11-03 14:42:00,1.25,15814.0,United Kingdom
580962,23432,PRETTY HANGING QUILTED HEARTS,12,2011-12-06 14:40:00,0.83,17119.0,United Kingdom
543713,21556,CERAMIC STRAWBERRY MONEY BOX,2,2011-02-11 11:46:00,4.13,,United Kingdom
550474,22586,FELTCRAFT HAIRBAND PINK AND BLUE,1,2011-04-18 13:58:00,1.63,,United Kingdom
538866,22147,FELTCRAFT BUTTERFLY HEARTS,1,2010-12-14 14:40:00,1.45,17841.0,United Kingdom
538799,21931,JUMBO STORAGE BAG SUKI,10,2010-12-14 11:48:00,1.95,15039.0,United Kingdom
569110,22767,TRIPLE PHOTO FRAME CORNICE ,2,2011-09-30 12:44:00,9.95,17675.0,United Kingdom
548310,22139,RETROSPOT TEA SET CERAMIC 11 PC ,1,2011-03-30 12:04:00,4.95,,United Kingdom
567954,23203,JUMBO BAG VINTAGE DOILY ,10,2011-09-23 08:30:00,2.08,13004.0,United Kingdom
540520,37501,TEA TIME TEA SET IN GIFT BOX,1,2011-01-09 12:31:00,6.95,17555.0,United Kingdom
540468,22549,PICTURE DOMINOES,1,2011-01-07 13:55:00,3.36,,United Kingdom
549126,85038,6 CHOCOLATE LOVE HEART T-LIGHTS,2,2011-04-06 14:23:00,2.1,16031.0,United Kingdom
550513,72807B,SET/3 OCEAN SCENT CANDLE JEWEL BOX,1,2011-04-18 16:37:00,4.25,16928.0,United Kingdom
556803,22666,RECIPE BOX PANTRY YELLOW DESIGN,6,2011-06-14 14:57:00,6.63,,United Kingdom
545909,22139,RETROSPOT TEA SET CERAMIC 11 PC ,3,2011-03-08 09:45:00,4.95,15819.0,United Kingdom
571475,23527,WALL ART ANIMALS AND NATURE ,1,2011-10-17 14:42:00,3.75,15033.0,United Kingdom
560434,22377,BOTTLE BAG RETROSPOT ,1,2011-07-18 15:56:00,1.63,,United Kingdom
562024,22567,20 DOLLY PEGS RETROSPOT,1,2011-08-01 16:07:00,2.92,,United Kingdom
541220,22957,SET 3 PAPER VINTAGE CHICK PAPER EGG,240,2011-01-14 14:11:00,2.55,14156.0,EIRE
579361,22493,PAINT YOUR OWN CANVAS SET,2,2011-11-29 11:51:00,1.65,,United Kingdom
566164,22775,PURPLE DRAWERKNOB ACRYLIC EDWARDIAN,3,2011-09-09 11:56:00,2.46,,United Kingdom
538177,20719,WOODLAND CHARLOTTE BAG,4,2010-12-10 09:51:00,1.66,,United Kingdom
578347,22614,PACK OF 12 SPACEBOY TISSUES,2,2011-11-24 09:26:00,0.83,,United Kingdom
578100,21790,VINTAGE SNAP CARDS,12,2011-11-23 08:17:00,0.85,15814.0,United Kingdom
578018,21530,DAIRY MAID TOASTRACK,3,2011-11-22 13:08:00,0.79,15311.0,United Kingdom
536592,21002,ROSE DU SUD DRAWSTRING BAG,2,2010-12-01 17:06:00,3.36,,United Kingdom
537077,M,Manual,12,2010-12-05 11:59:00,0.42,17062.0,United Kingdom
570642,22717,CARD DOG AND BALL ,12,2011-10-11 12:41:00,0.42,15024.0,United Kingdom
557644,DOT,DOTCOM POSTAGE,1,2011-06-21 17:06:00,138.46,,United Kingdom
580908,23500,KEY RING BASEBALL BOOT ASSORTED ,20,2011-12-06 13:20:00,1.25,16495.0,United Kingdom
561209,23176,ABC TREASURE BOOK BOX ,1,2011-07-25 16:57:00,4.58,,United Kingdom
564849,23108,SET OF 10 LED DOLLY LIGHTS,2,2011-08-30 15:42:00,6.25,17675.0,United Kingdom
538831,21314,SMALL GLASS HEART TRINKET POT,16,2010-12-14 13:02:00,2.1,18144.0,United Kingdom
579196,22960,JAM MAKING SET WITH JARS,9,2011-11-28 15:54:00,8.29,14096.0,United Kingdom
557128,82482,WOODEN PICTURE FRAME WHITE FINISH,1,2011-06-16 19:49:00,2.55,14765.0,United Kingdom
572399,22142,CHRISTMAS CRAFT WHITE FAIRY ,12,2011-10-24 11:56:00,1.45,15628.0,United Kingdom
557214,22896,PEG BAG APPLES DESIGN,6,2011-06-17 12:20:00,2.55,17677.0,United Kingdom
554080,20971,PINK BLUE FELT CRAFT TRINKET BOX,3,2011-05-22 11:42:00,1.25,16931.0,United Kingdom
538909,15060B,FAIRY CAKE DESIGN UMBRELLA,8,2010-12-15 10:48:00,3.75,13491.0,United Kingdom
573335,23426,METAL SIGN DROP YOUR PANTS,2,2011-10-30 11:35:00,2.89,15059.0,United Kingdom
580983,22714,CARD BIRTHDAY COWBOY,1,2011-12-06 16:26:00,0.83,,United Kingdom
540856,84378,SET OF 3 HEART COOKIE CUTTERS,12,2011-01-12 10:16:00,1.25,16655.0,United Kingdom
543732,22807,SET OF 6 T-LIGHTS TOADSTOOLS,1,2011-02-11 12:02:00,5.79,,United Kingdom
549257,22915,ASSORTED BOTTLE TOP  MAGNETS ,1,2011-04-07 12:29:00,0.42,14465.0,United Kingdom
547520,85014A,BLACK/BLUE POLKADOT UMBRELLA,3,2011-03-23 14:55:00,5.95,12564.0,France
537154,85099C,JUMBO  BAG BAROQUE BLACK WHITE,10,2010-12-05 13:05:00,1.95,15808.0,United Kingdom
550978,21090,SET/6 COLLAGE PAPER PLATES,24,2011-04-21 17:31:00,0.39,13983.0,United Kingdom
571475,22295,HEART FILIGREE DOVE LARGE,2,2011-10-17 14:42:00,1.65,15033.0,United Kingdom
581219,22721,SET OF 3 CAKE TINS SKETCHBOOK,1,2011-12-08 09:28:00,10.79,,United Kingdom
572676,22728,ALARM CLOCK BAKELIKE PINK,8,2011-10-25 13:30:00,3.75,16258.0,United Kingdom
550478,22501,PICNIC BASKET WICKER LARGE,2,2011-04-18 14:01:00,9.95,15755.0,United Kingdom
552839,48185,DOORMAT FAIRY CAKE,1,2011-05-11 14:25:00,7.95,14367.0,United Kingdom
556809,22754,SMALL RED BABUSHKA NOTEBOOK ,2,2011-06-14 16:48:00,0.85,17179.0,United Kingdom
560233,23301,GARDENERS KNEELING PAD KEEP CALM ,2,2011-07-17 11:10:00,1.65,16813.0,United Kingdom
565767,21238,RED RETROSPOT CUP,1,2011-09-06 14:28:00,1.63,,United Kingdom
553894,23050,RECYCLED ACAPULCO MAT GREEN,2,2011-05-19 17:15:00,8.25,13658.0,United Kingdom
540551,84968E,SET OF 16 VINTAGE BLACK CUTLERY,2,2011-01-10 09:43:00,8.47,,United Kingdom
567429,22381,TOY TIDY PINK POLKADOT,5,2011-09-20 11:39:00,2.1,17686.0,United Kingdom
538706,22151,PLACE SETTING WHITE HEART,48,2010-12-14 10:34:00,0.42,14667.0,United Kingdom
557153,22607,WOODEN ROUNDERS GARDEN SET ,2,2011-06-17 11:07:00,9.95,13735.0,United Kingdom
569089,23284,DOORMAT KEEP CALM AND COME IN,1,2011-09-30 12:03:00,8.25,13764.0,United Kingdom
577110,22154,ANGEL DECORATION 3 BUTTONS ,48,2011-11-17 17:53:00,0.42,14234.0,United Kingdom
C578371,22974,CHILDRENS DOLLY GIRL MUG,-1,2011-11-24 11:16:00,1.65,14410.0,United Kingdom
551717,22766,PHOTO FRAME CORNICE,2,2011-05-03 15:59:00,2.95,13263.0,United Kingdom
568791,23284,DOORMAT KEEP CALM AND COME IN,10,2011-09-29 09:51:00,7.08,16650.0,United Kingdom
579093,20961,STRAWBERRY BATH SPONGE ,20,2011-11-28 10:54:00,1.25,13081.0,United Kingdom
560239,20914,SET/5 RED RETROSPOT LID GLASS BOWLS,6,2011-07-17 11:50:00,2.95,13507.0,United Kingdom
548208,84987,SET OF 36 TEATIME PAPER DOILIES,12,2011-03-29 17:12:00,1.45,14189.0,United Kingdom
548732,22662,LUNCH BAG DOLLY GIRL DESIGN,10,2011-04-04 10:16:00,1.65,16142.0,United Kingdom
538566,22867,HAND WARMER BIRD DESIGN,5,2010-12-13 11:21:00,4.21,,United Kingdom
542662,22138,BAKING SET 9 PIECE RETROSPOT ,3,2011-01-31 12:10:00,4.95,18145.0,United Kingdom
564654,22689,DOORMAT MERRY CHRISTMAS RED ,10,2011-08-26 14:29:00,6.75,14911.0,EIRE
555383,22668,PINK BABY BUNTING,5,2011-06-02 15:13:00,2.95,12517.0,Germany
559109,21823,PAINTED METAL HEART WITH HOLLY BELL,1,2011-07-06 11:52:00,1.45,15021.0,United Kingdom
554137,21673,WHITE SPOT BLUE CERAMIC DRAWER KNOB,12,2011-05-23 10:13:00,1.25,12708.0,Germany
537265,22476,EMPIRE UNION JACK TV DINNER TRAY,1,2010-12-06 11:26:00,4.95,15919.0,United Kingdom
577768,21162,TOXIC AREA  DOOR HANGER ,1,2011-11-21 15:18:00,3.29,,United Kingdom
544647,22027,TEA PARTY BIRTHDAY CARD,36,2011-02-22 12:13:00,0.42,14060.0,United Kingdom
559299,84596F,SMALL MARSHMALLOWS PINK BOWL,16,2011-07-07 12:39:00,0.42,16929.0,United Kingdom
564650,84978,HANGING HEART JAR T-LIGHT HOLDER,36,2011-08-26 14:17:00,1.06,14646.0,Netherlands
574310,20973,12 PENCIL SMALL TUBE WOODLAND,12,2011-11-03 16:56:00,0.65,13467.0,United Kingdom
566586,21977,PACK OF 60 PINK PAISLEY CAKE CASES,72,2011-09-13 14:23:00,0.55,12619.0,Germany
578266,21206,STRAWBERRY HONEYCOMB  GARLAND ,2,2011-11-23 13:34:00,1.65,12748.0,United Kingdom
563549,21326,AGED GLASS SILVER T-LIGHT HOLDER,1,2011-08-17 12:34:00,1.63,,United Kingdom
570380,85170B,SET/6 BLACK BIRD T-LIGHT CANDLES,2,2011-10-10 12:35:00,2.1,14606.0,United Kingdom
558769,21931,JUMBO STORAGE BAG SUKI,2,2011-07-03 14:58:00,2.08,17899.0,United Kingdom
562113,21559,STRAWBERRY LUNCH BOX WITH CUTLERY,1,2011-08-02 16:11:00,4.96,,United Kingdom
566290,22297,HEART IVORY TRELLIS SMALL,1,2011-09-11 15:24:00,1.25,14456.0,United Kingdom
581023,22278,OVERNIGHT BAG VINTAGE ROSE PAISLEY,4,2011-12-07 10:35:00,10.79,,United Kingdom
579557,47566,PARTY BUNTING,9,2011-11-30 11:18:00,10.79,,United Kingdom
537638,22889,NUMBER TILE VINTAGE FONT No ,1,2010-12-07 15:28:00,4.21,,United Kingdom
575367,22734,SET OF 6 RIBBONS VINTAGE CHRISTMAS,6,2011-11-09 15:05:00,2.89,15114.0,United Kingdom
537643,21832,CHOCOLATE CALCULATOR,2,2010-12-07 15:34:00,3.36,,United Kingdom
556459,22855,FINE WICKER HEART ,2,2011-06-10 17:25:00,2.46,,United Kingdom
565926,22689,DOORMAT MERRY CHRISTMAS RED ,2,2011-09-08 10:02:00,7.95,13305.0,United Kingdom
570187,22698,PINK REGENCY TEACUP AND SAUCER,2,2011-10-07 15:09:00,5.79,,United Kingdom
552108,21926,RED/CREAM STRIPE CUSHION COVER ,4,2011-05-06 11:36:00,1.25,17841.0,United Kingdom
540681,21900,"KEY FOB , SHED",1,2011-01-10 16:25:00,1.66,,United Kingdom
577286,22406,MONEY BOX KINGS CHOICE DESIGN,1,2011-11-18 12:39:00,1.25,14606.0,United Kingdom
539728,22352,LUNCH BOX WITH CUTLERY RETROSPOT ,6,2010-12-21 14:26:00,2.55,16270.0,United Kingdom
578146,85150,LADIES & GENTLEMEN METAL SIGN,2,2011-11-23 11:07:00,2.55,13742.0,United Kingdom
565388,22690,DOORMAT HOME SWEET HOME BLUE ,1,2011-09-02 15:56:00,8.25,14415.0,United Kingdom
573904,23203,JUMBO BAG VINTAGE DOILY ,1,2011-11-01 14:54:00,2.08,14505.0,United Kingdom
562549,23255,CHILDRENS CUTLERY CIRCUS PARADE,4,2011-08-05 16:10:00,4.15,17092.0,United Kingdom
580032,85099B,JUMBO BAG RED RETROSPOT,5,2011-12-01 12:17:00,2.08,14659.0,United Kingdom
537607,22386,JUMBO BAG PINK POLKADOT,5,2010-12-07 13:18:00,1.95,15965.0,United Kingdom
543631,22335,HEART DECORATION PAINTED ZINC ,11,2011-02-10 16:17:00,0.65,14081.0,United Kingdom
554511,21559,STRAWBERRY LUNCH BOX WITH CUTLERY,1,2011-05-24 15:52:00,4.96,,United Kingdom
578827,23006,TRAVEL CARD WALLET FLOWER MEADOW,1,2011-11-25 14:25:00,0.83,,United Kingdom
572758,21916,SET 12 RETRO WHITE CHALK STICKS,1,2011-10-25 18:39:00,0.83,,United Kingdom
576074,23476,WOODLAND LARGE RED FELT HEART,12,2011-11-13 16:14:00,1.25,13178.0,United Kingdom
