订单ID,日期,客户ID,商品类别,单价,数量,地区,支付方式
ORD00037,2025-01-01 08:25:00,,食品,93.89,6,华南,支付宝
ORD00038,2025-01-01 08:25:00,C2435,家居,50.71,6,西南,现金
ORD00039,2025-01-01 08:28:00,C600,图书,76.1,3,华东,支付宝
ORD00040,2025-01-01 08:28:00,C2363,电子产品,,2,西南,支付宝
ORD00041,2025-01-01 08:28:00,,图书,64.39,9,华东,现金
ORD00042,2025-01-01 08:28:00,,食品,37.25,8,华北,微信
ORD00043,2025-01-01 08:28:00,C2041,服装,28.03,4,东北,支付宝
ORD00044,2025-01-01 08:28:00,C2824,服装,58.83,6,华北,支付宝
ORD00045,2025-01-01 08:29:00,C2612,图书,49.62,3,华东,微信
ORD00046,2025-01-01 08:29:00,C1363,服装,45.11,8,西南,现金
ORD00047,2025-01-01 08:29:00,C1478,图书,70.53,3,华东,信用卡
ORD00048,2025-01-01 08:30:00,C2556,食品,72.15,2,华北,微信
ORD00049,2025-01-01 08:30:00,C775,服装,14.13,7,华北,现金
ORD00050,2025-01-01 08:30:00,C4014,电子产品,40.49,3,西南,支付宝
ORD00051,2025-01-01 08:30:00,C034,图书,47.06,9,西南,微信
ORD00052,2025-01-01 08:31:00,C3152,服装,18.72,3,华北,支付宝
ORD00053,2025-01-01 08:33:00,C1955,食品,31.23,8,华东,微信
ORD00054,2025-01-01 08:35:00,,食品,14.65,2,华东,信用卡
ORD00055,2025-01-01 08:36:00,C3943,电子产品,99.66,9,东北,支付宝
ORD00056,2025-01-01 08:36:00,C3073,食品,76.29,1,华北,现金
ORD00057,2025-01-01 08:37:00,C1021,食品,17.87,3,东北,微信
ORD00058,2025-01-01 08:37:00,C3461,服装,11.82,2,华北,微信
ORD00059,2025-01-01 08:37:00,C2613,图书,74.74,7,东北,微信
ORD00060,2025-01-01 08:38:00,C3843,家居,49.53,5,华南,支付宝
ORD00061,2025-01-01 08:38:00,C1500,食品,80.81,8,华东,现金
ORD00062,2025-01-01 08:40:00,C4798,食品,93.11,2,华东,微信
ORD00063,2025-01-01 08:43:00,C161,家居,63.94,8,华南,支付宝
ORD00064,2025-01-01 08:43:00,C4297,食品,26.84,7,西南,支付宝
ORD00065,2025-01-01 08:44:00,C1981,服装,80.4,5,华南,信用卡
ORD00066,2025-01-01 08:44:00,C995,服装,96.02,2,华东,现金
ORD00067,2025-01-01 08:45:00,C4911,家居,,7,华北,信用卡
ORD00068,2025-01-01 08:47:00,C3342,食品,71.38,4,东北,微信
ORD00069,2025-01-01 08:47:00,C4551,食品,40.37,4,华东,支付宝
ORD00070,2025-01-01 08:48:00,,图书,44.34,8,华南,微信
ORD00071,2025-01-01 08:48:00,C1275,食品,76.12,6,华北,支付宝
ORD00072,2025-01-01 08:48:00,C1016,服装,93.5,9,华东,支付宝
ORD00073,2025-01-01 08:49:00,C337,电子产品,66.61,2,华南,现金
ORD00074,2025-01-01 08:49:00,C878,电子产品,81.09,5,华东,微信
ORD00075,2025-01-01 08:49:00,C1076,电子产品,25.45,6,华南,现金
ORD00076,2025-01-01 08:50:00,C4887,电子产品,29.08,8,华南,支付宝
ORD00077,2025-01-01 08:50:00,C3993,食品,57.88,4,华东,微信
ORD00078,2025-01-01 08:50:00,C4859,食品,25.89,7,华北,支付宝
ORD00079,2025-01-01 08:50:00,C379,图书,,7,华东,微信
ORD00080,2025-01-01 08:50:00,C492,食品,36.25,4,华东,微信
ORD00081,2025-01-01 08:51:00,C2062,电子产品,81.24,1,华北,信用卡
ORD00082,2025-01-01 08:51:00,C3884,家居,82.73,3,华东,信用卡
ORD00083,2025-01-01 08:52:00,C064,家居,51.74,2,东北,现金
ORD00084,2025-01-01 08:52:00,,服装,26.27,3,东北,支付宝
ORD00085,2025-01-01 08:52:00,C2027,服装,68.21,5,东北,现金
ORD00086,2025-01-01 08:53:00,C2695,食品,99.35,1,华南,微信
ORD00087,2025-01-01 08:53:00,C1495,家居,66.03,5,西南,现金
ORD00088,2025-01-01 08:55:00,C391,电子产品,13.22,2,华东,微信
ORD00089,2025-01-01 08:55:00,C4514,电子产品,11.56,4,西南,现金
ORD00090,2025-01-01 08:56:00,C4474,电子产品,38.83,6,东北,现金
ORD00091,2025-01-01 08:57:00,C3561,食品,27.62,9,华北,微信
ORD00092,2025-01-01 08:57:00,C2278,食品,83.17,6,东北,微信
ORD00093,2025-01-01 08:57:00,C3099,图书,86.03,2,华东,现金
ORD00094,2025-01-01 08:57:00,C200,电子产品,33.28,8,西南,微信
ORD00095,2025-01-01 08:58:00,C4875,电子产品,39.31,5,西南,现金
ORD00096,2025-01-01 08:58:00,C3104,食品,31.26,9,华南,支付宝
ORD00097,2025-01-01 08:59:00,,食品,91.75,9,华北,信用卡
ORD00098,2025-01-01 08:59:00,C2454,图书,55.24,4,东北,微信
ORD00099,2025-01-01 09:00:00,C3645,图书,69.05,1,华北,微信
ORD00100,2025-01-01 09:00:00,C804,服装,47.39,9,华东,现金
ORD00101,2025-01-01 09:00:00,C2731,家居,66.79,9,华南,微信
ORD00102,2025-01-01 09:00:00,C2773,电子产品,44.73,8,东北,支付宝
ORD00103,2025-01-01 09:01:00,C1570,电子产品,40.57,5,华东,信用卡
ORD00104,2025-01-01 09:02:00,C2690,图书,67.1,5,华北,信用卡
ORD00105,2025-01-01 09:02:00,C3840,图书,63.2,6,华南,微信
ORD00106,2025-01-01 09:02:00,C1028,服装,36.42,1,东北,支付宝
ORD00107,2025-01-01 09:04:00,C502,家居,23.44,9,华北,信用卡
ORD00108,2025-01-01 09:05:00,C4493,服装,43.17,5,东北,信用卡
ORD00109,2025-01-01 09:05:00,C870,家居,47.37,7,华南,支付宝
ORD00110,2025-01-01 09:07:00,C4488,电子产品,66.58,8,华南,信用卡
ORD00111,2025-01-01 09:07:00,C206,服装,92.31,5,华北,现金
ORD00112,2025-01-01 09:07:00,C1484,图书,13.26,3,东北,支付宝
ORD00113,2025-01-01 09:08:00,C863,服装,31.93,6,西南,信用卡
ORD00114,2025-01-01 09:08:00,C2790,服装,27.43,7,华东,支付宝
ORD00115,2025-01-01 09:09:00,C563,电子产品,55.21,4,华南,微信
ORD00116,2025-01-01 09:09:00,C4191,图书,48.67,9,东北,信用卡
ORD00117,2025-01-01 09:09:00,C1757,图书,75.61,4,华北,信用卡
ORD00118,2025-01-01 09:09:00,C1678,食品,31.82,2,华北,现金
ORD00119,2025-01-01 09:10:00,,食品,63.5,9,华南,现金
ORD00120,2025-01-01 09:11:00,C4636,食品,89.55,4,华南,信用卡
ORD00121,2025-01-01 09:11:00,C1059,电子产品,91.96,4,西南,支付宝
ORD00122,2025-01-01 09:11:00,C1722,服装,96.29,1,华北,信用卡
ORD00123,2025-01-01 09:12:00,,图书,79.59,2,东北,现金
ORD00124,2025-01-01 09:12:00,C3157,图书,91.54,3,华东,现金
ORD00125,2025-01-01 09:12:00,C2625,服装,31.11,7,华东,信用卡
ORD00126,2025-01-01 09:12:00,,图书,27.78,9,西南,支付宝
ORD00127,2025-01-01 09:13:00,C1597,服装,,5,东北,信用卡
ORD00128,2025-01-01 09:14:00,C3060,电子产品,73.62,4,华东,信用卡
ORD00129,2025-01-01 09:14:00,C2693,电子产品,94.37,2,华东,支付宝
ORD00130,2025-01-01 09:14:00,C4891,电子产品,26.82,7,东北,支付宝
ORD00131,2025-01-01 09:15:00,C3627,服装,67.32,6,东北,支付宝
ORD00132,2025-01-01 09:15:00,C1363,服装,77.18,7,华南,信用卡
ORD00133,2025-01-01 09:16:00,C1981,家居,93.49,-1,华东,微信
ORD00134,2025-01-01 09:16:00,C1663,图书,68.22,9,华东,支付宝
ORD00135,2025-01-01 09:17:00,C1529,图书,97.33,5,西南,信用卡
ORD00136,2025-01-01 09:17:00,C2038,家居,41.02,5,华南,微信
ORD00137,2025-01-01 09:17:00,C3302,家居,41.49,4,华南,现金
ORD00138,2025-01-01 09:17:00,C2237,电子产品,58.87,3,华东,微信
ORD00139,2025-01-01 09:19:00,C1306,家居,44.52,7,华北,支付宝
ORD00140,2025-01-01 09:19:00,C4029,服装,10.13,5,华北,支付宝
ORD00141,2025-01-01 09:20:00,C2675,食品,75.86,7,东北,支付宝
ORD00142,2025-01-01 09:21:00,C1282,服装,77.65,2,华南,现金
ORD00143,2025-01-01 09:22:00,C709,家居,77.23,9,华东,支付宝
ORD00144,2025-01-01 09:22:00,C4744,图书,41.05,9,华东,支付宝
ORD00145,2025-01-01 09:22:00,C4413,服装,57.01,9,华东,信用卡
ORD00146,2025-01-01 09:23:00,C3748,图书,,5,西南,信用卡
ORD00147,2025-01-01 09:24:00,C4779,服装,11.44,9,华北,现金
ORD00148,2025-01-01 09:24:00,C663,图书,60.62,1,西南,支付宝
ORD00149,2025-01-01 09:24:00,C1998,服装,21.14,2,华东,信用卡
ORD00150,2025-01-01 09:24:00,C3445,图书,17.2,5,华东,支付宝
ORD00151,2025-01-01 09:24:00,C3743,食品,77.99,5,华南,支付宝
ORD00152,2025-01-01 09:25:00,C1495,电子产品,10.86,6,华南,微信
ORD00153,2025-01-01 09:26:00,C3304,服装,96.31,8,华北,支付宝
ORD00154,2025-01-01 09:28:00,C3763,食品,56.37,1,东北,微信
ORD00155,2025-01-01 09:29:00,C1853,电子产品,98.47,9,华东,信用卡
ORD00156,2025-01-01 09:29:00,C4659,服装,,4,华南,支付宝
ORD00157,2025-01-01 09:30:00,C1291,食品,62.52,8,华北,微信
ORD00158,2025-01-01 09:30:00,C3581,食品,41.44,5,西南,微信
ORD00159,2025-01-01 09:30:00,C3457,食品,85.91,1,华东,信用卡
ORD00160,2025-01-01 09:31:00,C1636,家居,42.51,9,东北,微信
ORD00161,2025-01-01 09:31:00,C3696,图书,33.44,8,华北,支付宝
ORD00162,2025-01-01 09:31:00,C2999,电子产品,87.18,5,东北,支付宝
ORD00163,2025-01-01 09:32:00,C3152,图书,43.72,4,华东,微信
ORD00164,2025-01-01 09:32:00,C698,图书,11.51,8,华北,支付宝
ORD00165,2025-01-01 09:33:00,,图书,45.13,9,华南,支付宝
ORD00166,2025-01-01 09:33:00,C4097,食品,68.91,7,东北,现金
ORD00167,2025-01-01 09:34:00,C4737,图书,32.89,4,西南,微信
ORD00168,2025-01-01 09:34:00,C854,家居,48.88,7,西南,信用卡
ORD00169,2025-01-01 09:35:00,C3474,服装,15.1,6,东北,信用卡
ORD00170,2025-01-01 09:36:00,C1707,食品,62.93,3,华东,支付宝
ORD00171,2025-01-01 09:37:00,C2777,电子产品,78.07,3,华东,微信
ORD00172,2025-01-01 09:38:00,C1733,服装,47.2,1,华东,支付宝
ORD00173,2025-01-01 09:38:00,C4931,服装,47.82,5,西南,支付宝
ORD00174,2025-01-01 09:38:00,C3510,服装,,8,西南,微信
ORD00175,2025-01-01 09:39:00,,图书,28.17,6,华南,信用卡
ORD00176,2025-01-01 09:40:00,C3255,图书,23.92,8,华东,现金
ORD00177,2025-01-01 09:40:00,C4218,食品,53.35,7,西南,现金
ORD00178,2025-01-01 09:41:00,C4496,图书,57.63,2,西南,支付宝
ORD00179,2025-01-01 09:43:00,C766,图书,95.4,8,华东,现金
ORD00180,2025-01-01 09:44:00,C4389,图书,16.59,4,华东,信用卡
ORD00181,2025-01-01 09:45:00,C2327,食品,63.99,5,西南,支付宝
ORD00182,2025-01-01 09:46:00,C2931,食品,57.38,8,东北,微信
ORD00183,2025-01-01 09:46:00,C197,家居,56.46,5,西南,现金
ORD00184,2025-01-01 09:46:00,C1930,家居,88.58,5,华南,微信
ORD00185,2025-01-01 09:47:00,C3582,家居,28.5,6,华北,信用卡
ORD00186,2025-01-01 09:48:00,C608,家居,13.67,7,华东,支付宝
ORD00187,2025-01-01 09:49:00,C3272,服装,70.5,9,华南,微信
ORD00188,2025-01-01 09:50:00,C1147,服装,,7,东北,支付宝
ORD00189,2025-01-01 09:51:00,C4282,家居,11.58,6,华北,现金
ORD00190,2025-01-01 09:51:00,C3397,家居,32.62,4,西南,支付宝
ORD00191,2025-01-01 09:52:00,C2511,电子产品,37.84,2,华东,信用卡
ORD00192,2025-01-01 09:54:00,C1794,服装,,9,西南,支付宝
ORD00193,2025-01-01 09:54:00,C659,电子产品,25.53,5,华南,支付宝
ORD00194,2025-01-01 09:54:00,C2811,电子产品,47.17,5,华东,现金
ORD00195,2025-01-01 09:54:00,C1369,图书,,3,西南,信用卡
ORD00196,2025-01-01 09:55:00,C1986,食品,51.33,3,华东,微信
ORD00197,2025-01-01 09:55:00,C146,服装,97.65,1,华南,支付宝
ORD00198,2025-01-01 09:55:00,C3219,家居,14.1,5,西南,支付宝
ORD00199,2025-01-01 09:55:00,C2911,家居,95.59,3,华北,微信
ORD00200,2025-01-01 09:59:00,C1734,食品,62.37,2,东北,信用卡
ORD00201,2025-01-01 09:59:00,C1843,服装,81.62,9,西南,微信
ORD00202,2025-01-01 10:00:00,C488,家居,48.74,6,华东,支付宝
ORD00203,2025-01-01 10:00:00,C2976,家居,50.85,3,西南,支付宝
ORD00204,2025-01-01 10:00:00,C1959,图书,89.14,7,华东,信用卡
ORD00205,2025-01-01 10:02:00,C2385,电子产品,90.63,9,华南,现金
ORD00206,2025-01-01 10:02:00,C2919,家居,31.48,9,东北,信用卡
ORD00207,2025-01-01 10:02:00,C4736,服装,27.93,1,华东,微信
ORD00208,2025-01-01 10:03:00,C1802,食品,54.66,2,西南,信用卡
ORD00209,2025-01-01 10:03:00,C4061,图书,91.02,8,华南,微信
ORD00210,2025-01-01 10:03:00,C3369,服装,39.01,1,华北,现金
ORD00211,2025-01-01 10:03:00,C262,图书,68.68,3,西南,现金
ORD00212,2025-01-01 10:04:00,C623,电子产品,73.73,7,东北,微信
ORD00213,2025-01-01 10:04:00,,家居,80.08,8,华南,支付宝
ORD00214,2025-01-01 10:05:00,C3643,服装,60.75,5,西南,微信
ORD00215,2025-01-01 10:05:00,C4976,食品,46.22,2,华东,微信
ORD00216,2025-01-01 10:06:00,C2049,电子产品,97.03,3,华东,信用卡
ORD00217,2025-01-01 10:06:00,C3723,电子产品,65.02,9,华东,现金
ORD00218,2025-01-01 10:07:00,C4548,图书,75.57,7,西南,信用卡
ORD00219,2025-01-01 10:07:00,C3108,电子产品,41.05,1,东北,支付宝
ORD00220,2025-01-01 10:07:00,C4090,服装,70.3,3,华东,支付宝
ORD00221,2025-01-01 10:07:00,C2056,图书,33.2,9,西南,支付宝
ORD00222,2025-01-01 10:07:00,C3170,电子产品,32.06,7,西南,微信
ORD00223,2025-01-01 10:09:00,C1682,食品,74.32,2,东北,信用卡
ORD00224,2025-01-01 10:09:00,C2255,服装,56.93,6,华南,微信
ORD00225,2025-01-01 10:09:00,C1154,食品,71.49,9,华南,支付宝
ORD00226,2025-01-01 10:11:00,C4499,食品,34.25,4,西南,现金
ORD00227,2025-01-01 10:11:00,,图书,63.89,2,华南,信用卡
ORD00228,2025-01-01 10:12:00,C1696,家居,49.95,3,华北,微信
ORD00229,2025-01-01 10:12:00,C3991,图书,63.73,7,东北,信用卡
ORD00230,2025-01-01 10:13:00,C4723,服装,36.18,4,西南,微信
ORD00231,2025-01-01 10:13:00,C4682,服装,74.39,7,华南,现金
ORD00232,2025-01-01 10:14:00,,图书,82.53,5,华南,现金
ORD00233,2025-01-01 10:16:00,C1445,家居,33.39,8,东北,支付宝
ORD00234,2025-01-01 10:17:00,C4199,图书,37.06,8,华东,现金
ORD00235,2025-01-01 10:18:00,C3923,服装,69.5,5,华南,微信
ORD00236,2025-01-01 10:18:00,C253,家居,72.6,7,东北,微信
ORD00237,2025-01-01 10:19:00,C3183,服装,73.37,6,华东,支付宝
ORD00238,2025-01-01 10:19:00,C2557,家居,71.44,8,西南,支付宝
ORD00239,2025-01-01 10:19:00,C098,家居,45.35,9,华东,现金
ORD00240,2025-01-01 10:20:00,,图书,45.54,5,华南,现金
ORD00241,2025-01-01 10:20:00,C2961,图书,32.93,7,西南,微信
ORD00242,2025-01-01 10:20:00,C4973,图书,24.12,1,西南,微信
ORD00243,2025-01-01 10:23:00,C4433,家居,72.33,8,华东,微信
ORD00244,2025-01-01 10:23:00,C3777,家居,18.39,3,西南,支付宝
ORD00245,2025-01-01 10:24:00,C2869,服装,94.4,1,华东,支付宝
ORD00246,2025-01-01 10:25:00,C3234,食品,84.4,6,华东,支付宝
ORD00247,2025-01-01 10:27:00,C3791,图书,87.18,8,华东,信用卡
ORD00248,2025-01-01 10:27:00,C956,服装,91.6,3,东北,信用卡
ORD00249,2025-01-01 10:27:00,C4067,服装,46.77,1,华南,支付宝
ORD00250,2025-01-01 10:27:00,C160,电子产品,86.2,3,西南,现金
ORD00251,2025-01-01 10:28:00,C4493,图书,24.23,5,华北,信用卡
ORD00252,2025-01-01 10:29:00,C1300,服装,11.95,8,华南,现金
ORD00253,2025-01-01 10:30:00,C4911,电子产品,80.64,9,华北,信用卡
ORD00254,2025-01-01 10:30:00,C3987,图书,16.73,9,华东,微信
ORD00255,2025-01-01 10:31:00,C1527,家居,98.97,4,西南,微信
ORD00256,2025-01-01 10:34:00,C1218,电子产品,70.73,8,华南,微信
ORD00257,2025-01-01 10:37:00,C4496,家居,77.81,5,华北,现金
ORD00258,2025-01-01 10:38:00,C4735,食品,32.12,3,华北,信用卡
ORD00259,2025-01-01 10:38:00,C3104,食品,70.65,5,华北,信用卡
ORD00260,2025-01-01 10:38:00,C2735,食品,,2,华南,现金
ORD00261,2025-01-01 10:40:00,C4555,食品,85.4,6,东北,微信
ORD00262,2025-01-01 10:40:00,C954,服装,25.27,1,华东,现金
ORD00263,2025-01-01 10:40:00,,食品,72.76,6,西南,微信
ORD00264,2025-01-01 10:41:00,C3446,服装,30.2,5,华北,支付宝
ORD00265,2025-01-01 10:41:00,,服装,16.16,9,华南,信用卡
ORD00266,2025-01-01 10:41:00,C1693,图书,53.33,7,华北,现金
ORD00267,2025-01-01 10:41:00,C3436,服装,25.24,6,华南,现金
ORD00268,2025-01-01 10:42:00,C562,服装,75.65,7,东北,微信
ORD00269,2025-01-01 10:42:00,C2485,食品,31.38,5,华北,现金
ORD00270,2025-01-01 10:43:00,C3354,服装,40.82,1,华北,微信
ORD00271,2025-01-01 10:43:00,C225,家居,61.07,9,西南,微信
ORD00272,2025-01-01 10:43:00,C4893,食品,35.65,5,华南,信用卡
ORD00273,2025-01-01 10:43:00,C959,电子产品,44.02,4,华南,微信
ORD00274,2025-01-01 10:44:00,C4548,食品,83.41,6,东北,微信
ORD00275,2025-01-01 10:45:00,C3067,服装,26.13,5,华北,现金
ORD00276,2025-01-01 10:45:00,C815,家居,17.4,1,西南,现金
ORD00277,2025-01-01 10:46:00,C4754,食品,39.55,2,华东,微信
ORD00278,2025-01-01 10:46:00,C4642,家居,48.19,4,西南,微信
ORD00279,2025-01-01 10:47:00,C3120,电子产品,58.84,8,西南,微信
ORD00280,2025-01-01 10:47:00,C016,电子产品,43.52,5,西南,支付宝
ORD00281,2025-01-01 10:48:00,C1243,图书,81.09,7,西南,微信
ORD00282,2025-01-01 10:49:00,C2205,图书,13.54,2,华北,支付宝
ORD00283,2025-01-01 10:49:00,C2524,食品,,8,西南,现金
ORD00284,2025-01-01 10:49:00,C1069,图书,44.4,5,华南,信用卡
ORD00285,2025-01-01 10:49:00,C3444,家居,68.28,-1,华南,信用卡
ORD00286,2025-01-01 10:51:00,,图书,96.96,9,西南,信用卡
ORD00287,2025-01-01 10:52:00,,家居,55.93,6,华南,信用卡
ORD00288,2025-01-01 10:53:00,C2327,图书,98.82,4,华北,现金
ORD00289,2025-01-01 10:53:00,C3420,图书,37.2,8,华东,信用卡
ORD00290,2025-01-01 10:54:00,C301,图书,12.78,3,西南,现金
ORD00291,2025-01-01 10:54:00,C4276,服装,24.91,2,华南,现金
ORD00292,2025-01-01 10:54:00,C606,服装,45.56,7,华南,微信
ORD00293,2025-01-01 10:54:00,,图书,38.47,4,华北,微信
ORD00294,2025-01-01 10:55:00,C699,家居,18.73,4,华北,信用卡
ORD00295,2025-01-01 10:56:00,C1139,食品,48.94,9,华东,微信
ORD00296,2025-01-01 10:59:00,C190,电子产品,40.43,2,东北,支付宝
ORD00297,2025-01-01 10:59:00,C2300,服装,21.04,1,东北,支付宝
ORD00298,2025-01-01 10:59:00,C980,图书,36.65,7,东北,现金
ORD00299,2025-01-01 10:59:00,C2975,电子产品,89.78,8,华东,微信
ORD00300,2025-01-01 11:00:00,C1184,服装,37.18,3,西南,信用卡
ORD00301,2025-01-01 11:02:00,C3327,食品,74.26,2,东北,信用卡
ORD00302,2025-01-01 11:02:00,C3394,家居,65.08,4,东北,支付宝
ORD00303,2025-01-01 11:03:00,C127,图书,48.45,2,华南,微信
ORD00304,2025-01-01 11:04:00,C2065,食品,31.51,2,华南,支付宝
ORD00305,2025-01-01 11:04:00,C1816,服装,43.21,5,西南,微信
ORD00306,2025-01-01 11:04:00,C569,图书,63.29,5,华北,信用卡
ORD00307,2025-01-01 11:04:00,C1895,电子产品,41.57,8,华东,支付宝
ORD00308,2025-01-01 11:06:00,C2733,家居,29.34,9,东北,微信
ORD00309,2025-01-01 11:06:00,C3863,服装,20.48,2,华东,信用卡
ORD00310,2025-01-01 11:09:00,C4721,家居,89.18,1,华南,微信
ORD00311,2025-01-01 11:10:00,C4014,图书,49.63,3,华东,信用卡
ORD00312,2025-01-01 11:10:00,C2901,食品,66.27,6,华南,现金
ORD00313,2025-01-01 11:10:00,C1686,家居,54.14,5,华东,现金
ORD00314,2025-01-01 11:12:00,C3009,电子产品,88.53,8,华南,微信
ORD00315,2025-01-01 11:12:00,C154,服装,59.22,8,华东,支付宝
ORD00316,2025-01-01 11:13:00,C2537,电子产品,53.27,2,东北,微信
ORD00317,2025-01-01 11:15:00,C1409,家居,93.21,9,东北,现金
ORD00318,2025-01-01 11:15:00,C4057,食品,74.77,4,西南,支付宝
ORD00319,2025-01-01 11:16:00,C784,食品,20.04,1,华东,现金
ORD00320,2025-01-01 11:16:00,C3175,电子产品,25.99,2,华北,现金
ORD00321,2025-01-01 11:16:00,C4341,图书,80.84,6,西南,支付宝
ORD00322,2025-01-01 11:16:00,C2806,图书,85.23,5,华东,支付宝
ORD00323,2025-01-01 11:16:00,C537,食品,59.07,7,华北,现金
ORD00324,2025-01-01 11:17:00,C1841,电子产品,59.9,9,东北,信用卡
ORD00325,2025-01-01 11:17:00,C2455,电子产品,66.87,6,东北,支付宝
ORD00326,2025-01-01 11:17:00,C524,电子产品,49.52,-1,东北,现金
ORD00327,2025-01-01 11:18:00,C2950,家居,71.22,2,华北,支付宝
ORD00328,2025-01-01 11:19:00,C4131,图书,19.76,7,华南,支付宝
ORD00329,2025-01-01 11:20:00,C4780,图书,96.52,2,华东,现金
ORD00330,2025-01-01 11:22:00,C4115,家居,77.51,7,西南,信用卡
ORD00331,2025-01-01 11:22:00,C2368,服装,66.81,8,西南,微信
ORD00332,2025-01-01 11:22:00,C3847,家居,38.47,1,东北,现金
ORD00333,2025-01-01 11:23:00,C4495,电子产品,24.49,9,华南,信用卡
ORD00334,2025-01-01 11:24:00,C2701,家居,46.84,8,华东,现金
ORD00335,2025-01-01 11:24:00,C971,电子产品,69.54,9,华东,信用卡
ORD00336,2025-01-01 11:26:00,C1166,食品,67.03,5,西南,微信
ORD00337,2025-01-01 11:26:00,C4929,电子产品,44.44,4,西南,微信
ORD00338,2025-01-01 11:28:00,,图书,65.2,1,西南,支付宝
ORD00339,2025-01-01 11:28:00,C1982,家居,83.24,9,华东,支付宝
ORD00340,2025-01-01 11:30:00,C853,电子产品,12.37,-1,西南,微信
ORD00341,2025-01-01 11:30:00,C4146,服装,50.56,4,华东,现金
ORD00342,2025-01-01 11:30:00,,食品,78.27,4,东北,微信
ORD00343,2025-01-01 11:31:00,C3769,服装,59.15,2,华南,信用卡
ORD00344,2025-01-01 11:32:00,C574,服装,68.63,4,西南,信用卡
ORD00345,2025-01-01 11:32:00,C3261,服装,56.5,2,华东,信用卡
ORD00346,2025-01-01 11:33:00,C1148,食品,99.27,8,东北,微信
ORD00347,2025-01-01 11:35:00,C1715,食品,14.92,7,华北,支付宝
ORD00348,2025-01-01 11:35:00,C4777,食品,54.19,2,东北,信用卡
ORD00349,2025-01-01 11:35:00,,食品,18.23,2,华南,信用卡
ORD00350,2025-01-01 11:36:00,C3854,服装,24.38,2,东北,微信
ORD00351,2025-01-01 11:37:00,C2491,图书,44.47,1,西南,信用卡
ORD00352,2025-01-01 11:37:00,C2660,图书,24.0,6,西南,微信
ORD00353,2025-01-01 11:38:00,C3124,食品,96.73,6,华北,支付宝
ORD00354,2025-01-01 11:40:00,C3051,家居,95.21,1,华东,信用卡
ORD00355,2025-01-01 11:41:00,C004,电子产品,40.25,1,东北,信用卡
ORD00356,2025-01-01 11:41:00,C4869,家居,67.58,6,华北,信用卡
ORD00357,2025-01-01 11:41:00,C876,家居,58.04,6,西南,微信
